Statistics by Municipality:
Gowanda (Village): Total: 8, Poor: 0, Percentage: 0.00%
Great Valley (Town): Total: 13, Poor: 0, Percentage: 0.00%
Hinsdale (Town): Total: 29, Poor: 2, Percentage: 6.90%
Humphrey (Town): Total: 13, Poor: 1, Percentage: 7.69%
Ischua (Town): Total: 13, Poor: 1, Percentage: 7.69%
Leon (Town): Total: 22, Poor: 2, Percentage: 9.09%
Little Valley (Town): Total: 10, Poor: 0, Percentage: 0.00%
Little Valley (Village): Total: 7, Poor: 0, Percentage: 0.00%
Lyndon (Town): Total: 4, Poor: 0, Percentage: 0.00%
Machias (Town): Total: 8, Poor: 0, Percentage: 0.00%
Mansfield (Town): Total: 12, Poor: 3, Percentage: 25.00%
Napoli (Town): Total: 6, Poor: 0, Percentage: 0.00%
New Albion (Town): Total: 13, Poor: 0, Percentage: 0.00%
Olean (City): Total: 15, Poor: 0, Percentage: 0.00%
Olean (Town): Total: 11, Poor: 0, Percentage: 0.00%
Otto (Town): Total: 8, Poor: 1, Percentage: 12.50%
Perrysburg (Town): Total: 2, Poor: 0, Percentage: 0.00%
Persia (Town): Total: 3, Poor: 1, Percentage: 33.33%
Portville (Town): Total: 11, Poor: 0, Percentage: 0.00%
Portville (Village): Total: 1, Poor: 0, Percentage: 0.00%
Randolph (Town): Total: 20, Poor: 1, Percentage: 5.00%
Red House (Town): Total: 20, Poor: 1, Percentage: 5.00%
Salamanca (City): Total: 10, Poor: 1, Percentage: 10.00%
Salamanca (Town): Total: 4, Poor: 0, Percentage: 0.00%
South Dayton (Village): Total: 1, Poor: 0, Percentage: 0.00%
South Valley (Town): Total: 6, Poor: 1, Percentage: 16.67%
Yorkshire (Town): Total: 10, Poor: 0, Percentage: 0.00%
Auburn (City): Total: 16, Poor: 0, Percentage: 0.00%
Aurelius (Town): Total: 6, Poor: 0, Percentage: 0.00%
Aurora (Village): Total: 1, Poor: 0, Percentage: 0.00%
Brutus (Town): Total: 18, Poor: 4, Percentage: 22.22%
Cato (Town): Total: 3, Poor: 0, Percentage: 0.00%
Conquest (Town): Total: 1, Poor: 0, Percentage: 0.00%
Fleming (Town): Total: 3, Poor: 1, Percentage: 33.33%
Genoa (Town): Total: 9, Poor: 2, Percentage: 22.22%
Ledyard (Town): Total: 1, Poor: 0, Percentage: 0.00%
Locke (Town): Total: 12, Poor: 2, Percentage: 16.67%
Mentz (Town): Total: 9, Poor: 1, Percentage: 11.11%
Montezuma (Town): Total: 7, Poor: 4, Percentage: 57.14%
Moravia (Town): Total: 3, Poor: 1, Percentage: 33.33%
Moravia (Village): Total: 6, Poor: 0, Percentage: 0.00%
Niles (Town): Total: 2, Poor: 0, Percentage: 0.00%
Owasco (Town): Total: 5, Poor: 1, Percentage: 20.00%
Port Byron (Village): Total: 3, Poor: 0, Percentage: 0.00%
Scipio (Town): Total: 1, Poor: 0, Percentage: 0.00%
Sempronius (Town): Total: 1, Poor: 0, Percentage: 0.00%
Sennett (Town): Total: 1, Poor: 0, Percentage: 0.00%
Springport (Town): Total: 5, Poor: 1, Percentage: 20.00%
Sterling (Town): Total: 12, Poor: 4, Percentage: 33.33%
Summerhill (Town): Total: 6, Poor: 0, Percentage: 0.00%
Throop (Town): Total: 8, Poor: 2, Percentage: 25.00%
Venice (Town): Total: 4, Poor: 3, Percentage: 75.00%
Victory (Town): Total: 2, Poor: 0, Percentage: 0.00%
Weedsport (Village): Total: 1, Poor: 0, Percentage: 0.00%
Arkwright (Town): Total: 6, Poor: 0, Percentage: 0.00%
Brocton (Village): Total: 1, Poor: 0, Percentage: 0.00%
Busti (Town): Total: 22, Poor: 2, Percentage: 9.09%
Carroll (Town): Total: 17, Poor: 2, Percentage: 11.76%
Cassadaga (Village): Total: 1, Poor: 0, Percentage: 0.00%
Celoron (Village): Total: 1, Poor: 0, Percentage: 0.00%
