Critical Infrastructure Bridges Analysis:

Total Critical Bridges Identified: 733
Poor Condition Critical Bridges: 72

Detailed List of Critical Bridges:
BIN, Feature Carried, Feature Crossed, Year Built, Last Inspection, Poor Condition, Reason
1038780,159 159 16011125,CSX TRANSPRTATION,2007,12/26/2019,No,Significant Feature
1078661,90I 90I11011034,CSX/Amtrak,2006,12/21/2018,No,Significant Feature
1078662,90I 90I11011034,CSX/AMTRAK,2006,12/21/2018,No,Significant Feature
3322010,ABBOTTS ROAD,TRIB OF CUBA LAKE,2006,11/26/2018,No,Significant Feature
1049789,940K940K43011032,KODAK RAILROAD,2006,10/11/2019,No,Significant Feature
1027650,59  59 85011060,Metro North Railroad Abandoned,2006,09/05/2018,No,Significant Feature
3302970,OLD RAVENA ROAD,CSX TRANS/RVR LNE,2005,10/10/2019,No,Significant Feature
1045130,295 295 81011062,CSX TRANS/ AMTRAK,2005,07/03/2019,No,Significant Feature
2206440,NYS Route 825,MOHAWK RIVER,2005,10/23/2019,No,Significant Feature
3304030,SOUTH SCHODACK RD,CSX TRANSPRTATION,2005,11/14/2019,No,Significant Feature
1019590,28  28  86011001,CATSKILL MOUNTAIN RAILROAD,2005,07/12/2018,No,Significant Feature
2219410,CASTLE POINT ROAD,TRIB SENECA LAKE,2005,11/13/2019,No,Significant Feature
3352230,DELHI-TREADWELL RD,SPRING VALLEY CREEK,2004,10/02/2018,No,Major Route
1018930,342 342 73011054,CSXT/DEPT-DEFENSE,2004,06/25/2018,No,Significant Feature
2270060,CLAY ROAD,CSX TRANS/W SHORE,2004,09/08/2019,No,Significant Feature
3317120,Pattonwood Drive,CSX Trans,2004,12/04/2018,No,Significant Feature
2269450,RELIHAN BOULEVARD,DENISON LAKE,2004,10/16/2018,No,Significant Feature
2212140,WORDEN ROAD,LIME LAKE OUTLET,2003,08/06/2019,No,Significant Feature
3324750,ALLEGHANY ROAD,SILVER CREEK,2003,05/29/2019,No,Major Route
3325430,CR 48 Dale Dr,Cassadaga Lakes,2003,04/08/2019,No,Significant Feature
1016870,22  22 81061303,CSX TRANSPORTATION,2003,07/29/2019,No,Significant Feature
3310760,BELCHER ROAD,W BR MOHAWK RIVER,2003,06/18/2019,No,Significant Feature
1004870,8    8 17101213,HUDSON RIVER,2003,09/06/2019,No,Significant Feature
1020710,29   29 18041027,BATTENKILL RAILROAD,2003,03/20/2019,No,Significant Feature
1038660,155 155 11013004,CSX TRANS/ AMTRAK,2002,12/21/2018,No,Significant Feature
4443010,LYNDON ROAD,CSX TRANS/AMTRAK,2002,08/23/2018,No,Significant Feature
1036630,104 104 34063133,CSX TRANSPRTATION,2002,06/28/2018,No,Significant Feature
2209410,E ALBANY STREET,CSX TRANSPRTATION,2002,08/09/2018,No,Major Route, Significant Feature
2202230,HERRICK ST,CSX RR / AMTRAK,2002,12/20/2018,No,Significant Feature
5524760,SCHODACK ISLD ACC,CSX RR / AMTRAK,2002,07/05/2018,No,Significant Feature
1022060,E. BRUTUS ST.ROAD,PUTNAM BROOK,2001,06/14/2019,No,Major Route
2262570,HUTTON STREET,CSX TRANS /AMTRAK,2001,11/01/2019,No,Significant Feature
1028730,NY 63 LEWISTON RD,90IX,2001,11/07/2018,No,Major Route
1007450,9W  9W13041062,CSX TRANS/RVR LNE,2001,10/23/2019,No,Significant Feature
3313220,173 173 33011031,CSX TRANS/AMTRAK,2001,05/09/2019,No,Significant Feature
1036600,104 104 34062027,CSX TRANSPRTATION,2001,06/06/2019,No,Significant Feature
552477A,VI-ARR,Local Street,2001,07/25/2018,No,Major Route
1068609,987C987C25011028,CSX TRANSPRTATION,2001,05/21/2018,No,Significant Feature
2228820,LAKE SHORE DRIVE,WHITE LAKE BROOK,2001,07/31/2019,No,Significant Feature
1077570,962JX,NORFOLK SOUTHERN RAILROAD MP 227.7,2001,09/09/2019,No,Significant Feature
3347050,MARCUS ROAD,BEER KILL,2001,04/23/2019,No,Major Route
1060340,ACCESS CAMPUS RD,85  85 11012012,2000,10/05/2018,No,Major Route
1060350,ACCESS CAMPUS RD,85  85 11012015,2000,10/24/2018,No,Major Route
3369730,COUNTY ROAD 103,LAKE COMO INLET,2000,10/11/2018,No,Significant Feature
2213100,KRAUS ROAD,RANSOM CREEK,2000,04/19/2018,No,Major Route
2269200,RIVERSIDE DRIVE S,AMTRAK RR W CONN,2000,11/01/2019,No,Significant Feature
2269210,WEST 68TH STREET,AMTRAK,2000,11/05/2019,No,Significant Feature
2269190,WEST 70TH STREET,AMTRAK,2000,10/30/2019,No,Significant Feature
4426120,STOKES-W'VILLE RD,MOHAWK RIVER,2000,05/02/2018,No,Significant Feature
3354790,HAUVERVILLE ROAD,LAKE CREEK,2000,05/01/2018,No,Significant Feature
3354780,HAUVERVILLE ROAD,LAKE CREEK,2000,05/01/2018,No,Significant Feature
3369720,COUNTY ROAD 45,SACKETT LAKE OUTL,2000,04/24/2018,No,Significant Feature
3335880,CAMPSITE ROAD,DAVIS LAKE OUTLET,1999,05/15/2019,No,Significant Feature
2222140,HARTIGAN ROAD,CSX TRANS/ AMTRAK,1999,08/03/2019,No,Significant Feature
3345040,COUNTY ROAD 19,LITTLE DAM LAKE OUTLET,1999,07/19/2018,No,Significant Feature
1068830,6   6 83012379,LAKE TEATA SPILLWAY,1999,05/23/2019,No,Significant Feature
2223940,CANOPUS HOLLOW RD,CANOPUS CREEK,1999,12/19/2019,No,Major Route
2267170,SIMONS ROAD,AMTRAK,1999,12/23/2018,No,Significant Feature
3369280,LEBER ROAD,CSX TRANS/ RVR LN,1999,08/04/2019,No,Significant Feature
3354800,COUNTY RD 19A,LAKE CREEK,1999,06/18/2019,No,Significant Feature
3354820,HAUVERVILLE ROAD,LAKE CREEK,1999,04/23/2019,No,Significant Feature
3314150,EAST LAKE ROAD,DRYDEN LAKE INLET,1999,10/23/2019,No,Significant Feature
1038100,144 144 11021035,CSX TRANS/C P RWY,1998,11/13/2018,No,Significant Feature
2260410,HAMBURG STREET,EXCHANGE ST (& CSX),1998,10/18/2018,No,Significant Feature
2011980,S.H.16 EB,CSX TRANS/AMTRAK,1998,09/25/2018,No,Significant Feature
5512109,NY Route 400 Ramp,90IX,1998,05/13/2018,No,Major Route
3354830,COUNTY ROAD 19A,LAKE CREEK,1998,11/28/2018,No,Significant Feature
3340610,COUNTY ROAD 15,LOWER LAKE,1998,05/23/2018,No,Significant Feature
1073282,27  27 07051184,LAKELAND AVENUE,1998,01/26/2018,No,Significant Feature
